20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[18]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[19]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[20]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[21]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[22]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
